"id","title","author","poem_body","dynasty","tac","appreciation","background","self_intro"
1,登鹳雀楼,王之涣,"
白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
",唐代,译文夕阳依傍着山峦渐渐下落，滔滔黄河朝着大海汹涌奔流。若想把千里的风光景物看够，那就请再登上一层高楼。注释鹳雀楼：旧址在山西永济县，楼高三层，前对中条山，下临黄河。传说常有鹳雀在此停留，故有此名。白日：太阳。依：依傍。尽：消失。 这句话是说太阳依傍山峦沉落。欲：想要得到某种东西或达到某种目的的愿望，但也有希望、想要的意思。穷：尽，使达到极点。千里目：眼界宽阔。更：再。,诗的前两句“白日依山尽，黄河入海流”，写的是登楼望见的景色，写得景象壮阔，气势雄浑。这里，诗人运用极其朴素、极其浅显的语言，既高度形象又高度概括地把进入广大视野的万里河山，收入短短十个字中；而我们在千载之下读到这十个字时，也如临其地，如见其景，感到胸襟为之一开。首句写遥望一轮落日向着楼前一望无际、连绵起伏的群山西沉，在视野的尽头冉冉而没。这是天空景、远方景、西望景。次句写目送流经楼前下方的黄河奔腾咆哮、滚滚南来，又在远处折而东向，流归大海。这是由地面望到天边，由近望到远，由西望到东。这两句诗合起来，就把上下、远近、东西的景物，全都容纳进诗笔之下，使画面显得特别宽广，特别辽远。就次句诗,创作背景　　该诗是唐代诗人王之涣仅存的六首绝句之一。作者早年及第，曾任过冀州衡水县的主薄，不久因遭人诬陷而罢官，不到三十岁的王之涣从此过上了访友漫游的生活。这首诗是作者三十五岁时写下的。,王之涣（688年—742年），是盛唐时期的著名诗人，字季凌，汉族，绛州（今山西新绛县）人。豪放不羁，常击剑悲歌，其诗多被当时乐工制曲歌唱。名动一时，他常与高适、王昌龄等相唱和，以善于描写边塞风光著称。其代表作有《登鹳雀楼》、《凉州词》等。“白日依山尽，黄河入海流。欲穷千里目，更上一层楼”，更是千古绝唱。► 7篇诗文
2,新嫁娘词,王建,"
三日入厨下，洗手作羹汤。未谙姑食性，先遣小姑尝。
",唐代,译文新婚三天来到厨房，洗手亲自来作羹汤。不知婆婆什么口味，做好先让小姑品尝。注释三日：古代风俗，新媳妇婚后三日须下厨房做饭菜。羹：泛指做成浓的菜肴。“未谙”句：意思是还不熟悉婆婆的口味。谙：熟悉。姑食性：婆婆的口味。遣：让。小姑：一作“小娘”。丈夫的妹妹。也称小姑子。,这组诗共三首，其中第三首（“三日入厨下”）最受推崇。下面是中国唐代文学学会常务理事、中国韵文学会常务理事兼诗学分会会长、安徽师范大学中国古代文学专业博士生导师余恕诚教授对此诗的赏析。“新媳妇难当”——在旧社会人们普遍有这种看法。但也有些新媳妇在令人作难的处境中找到了办法，应付了难局，使得事情的发展带有戏剧性，甚至富有诗趣，像王建的这首诗所写的，即属于此类。这也是唐代社会封建礼教控制相对放松，妇女们的巧思慧心多少能够得以表现出来的一种反映。“三日入厨下，洗手作羹汤。”古代女子嫁后的第三天，俗称“过三朝”，依照习俗要下厨房做菜。“三日”，正见其,"",王建(约767年—约830年)：字仲初，生于颍川(今河南许昌)，唐朝诗人。其著作，《新唐书·艺文志》、《郡斋读书志》、《直斋书录解题》等皆作10卷，《崇文总目》作2卷。► 415篇诗文
3,相思,王维,"
红豆生南国，春来发几枝。愿君多采撷，此物最相思。
",唐代,译文鲜红浑圆的红豆，生长在阳光明媚的南方，春暖花开的季节，不知又生出多少？希望思念的人儿多多采集，小小红豆引人相思。注释相思：题一作“相思子”，又作“江上赠李龟年”。红豆：又名相思子，一种生在江南地区的植物，结出的籽像豌豆而稍扁，呈鲜红色。“春来”句：一作“秋来发故枝”。“愿君”句：一作“劝君休采撷”。采撷（xié）：采摘。相思：想念。,这是借咏物而寄相思的诗，是眷怀友人之作。起句因物起兴，语虽单纯，却富于想象；接着以设问寄语，意味深长地寄托情思；第三句暗示珍重友谊，表面似乎嘱人相思，背面却深寓自身相思之重；最后一语双关，既切中题意，又关合情思，妙笔生花，婉曲动人。全诗情调健美高雅，怀思饱满奔放，语言朴素无华，韵律和谐柔美。可谓绝句的上乘佳品。红豆产于南方，结实鲜红浑圆，晶莹如珊瑚，南方人常用以镶嵌饰物。传说古代有一位女子，因丈夫死在边地，哭于树下而死，化为红豆，于是人们又称呼它为“相思子”。唐诗中常用它来关合相思之情。而“相思”不限于男女情爱范围，朋友之间也有相思的，如苏李诗“行人难久留，各言,创作背景　　此诗一作《江上赠李龟年》，可见为怀念友人之作。据载，天宝末年安史之乱时，李龟年流落江南曾演唱此诗，可证此诗为天宝年间所作。,王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。► 446篇诗文
4,杂诗三首·其二,王维,"
君自故乡来，应知故乡事。来日绮窗前，寒梅著花未？
",唐代,译文您是刚从我们家乡来的，一定了解家乡的人情世态。请问您来的时候我家雕画花纹的窗户前，那一株腊梅花开了没有？注释来日：来的时候。绮(qǐ)窗：雕画花纹的窗户。著花未：开花没有?著（zhuó）花，开花。未，用于句末，相当于“否”，表疑问。,"",创作背景　　王维在孟津住了十余年，久在异乡，忽然他乡遇故知，激起了是作者强烈的乡思，因此做此诗表达自己强烈的思乡之情。,王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。► 446篇诗文
5,鹿柴,王维,"
空山不见人，但闻人语响。返景入深林，复照青苔上。
",唐代,"",第一句“空山不见人”，先正面描写空山的杳无人迹。王维特别喜欢用“空山”这个词语，但在不同的诗里，它所表现的境界却有区别。“空山新雨后，天气晚来秋”（《山居秋暝》），侧重于表现雨后秋山的空明洁净；“人闲桂花落，夜静春山空”（《鸟鸣涧》），侧重于表现夜间春山的宁静幽美；而“空山不见人”，则侧重于表现山的空寂清泠。由于杳无人迹，这并不真空的山在诗人的感觉中显得空廓虚无，宛如太古之境。“不见人”，把“空山”的意蕴具体化了。如果只读第一句，读者可能会觉得它比较平常，但在“空山不见人”之后紧接“但闻人语响”，却境界顿出。“但闻”二字颇可玩味。通常情况下，寂静的空山尽管“不见,创作背景　　唐天宝年间，王维在终南山下购置辋川别业。鹿柴是王维在辋川别业的胜景之一。辋川有胜景二十处，王维和他的好友裴迪逐处作诗，编为《辋川集》，这首诗是其中的第五首。,王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。► 446篇诗文
6,竹里馆,王维,"
独坐幽篁里，弹琴复长啸。深林人不知，明月来相照。
",唐代,译文独自闲坐在幽静竹林，一边弹琴一边高歌长啸。深深的山林中无人知晓？只有一轮明月静静与我相伴。注释竹里馆：辋川别墅胜景之一，房屋周围有竹林，故名。幽篁（huáng）：幽深的竹林。啸（xiào）：嘬口发出长而清脆的声音，类似于打口哨。深林：指“幽篁”。相照：与“独坐”相应，意思是说，左右无人相伴，唯有明月似解人意，偏来相照。长啸：撮口而呼，这里指吟咏、歌唱。古代一些超逸之士常用来抒发感情。魏晋名士称吹口哨为啸。,此诗写隐者的闲适生活以及情趣，描绘了诗人月下独坐、弹琴长啸的悠闲生活，遣词造句简朴清丽，传达出诗人宁静、淡泊的心情，表现了清幽宁静、高雅绝俗的境界。起句写诗人活动的环境非常幽静。开头一个“独”字便给读者留下了突出印象，这个“独”字也贯穿了全篇。“幽篁”指幽深的竹林。《楚辞·九歌·山鬼》说：“余处幽篁兮终不见天。”“竹里馆”顾名思义是一座建在竹林深处的房子，王维独自坐在里面。他的朋友裴迪的同题诗写道：“出入唯山鸟，幽深无世人。”仅诗的第一句就塑造了一个悠然独处者的形象。次句承上写诗人悠然独处，借弹琴和长啸来抒发自己的情感。我们知道王维是著名的,创作背景　　这首诗是作于王维晚年隐居蓝田辋川时期。王维早年信奉佛教，思想超脱，加之仕途坎坷，四十岁以后就过着半官半隐的生活。诗人是在意兴清幽、心灵澄净的状态下与竹林、明月本身所具有的清幽澄净的属性悠然相会，而命笔成篇的。,王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。► 446篇诗文
7,送别 / 山中送别,王维,"
山中相送罢，日暮掩柴扉。春草明年绿，王孙归不归？(明年 一作：年年)
",唐代,译文在深山中送走了好友，夕阳落下把柴门半掩。春草到明年催生新绿，朋友啊你能不能回还？注释⑴掩：关闭。柴扉：柴门。⑵明年：一作“年年”。⑶王孙：贵族的子孙，这里指送别的友人。,"","",王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。► 446篇诗文
8,问刘十九,白居易,"
绿蚁新醅酒，红泥小火炉。晚来天欲雪，能饮一杯无？
",唐代,韵译新酿的米酒，色绿香浓；小小红泥炉，烧得殷红。天快黑了，大雪将要来。能否共饮一杯？朋友！意译我家新酿的米酒还未过滤，酒面上泛起一层绿泡，香气扑鼻。用红泥烧制成的烫酒用的小火炉也已准备好了。天色阴沉，看样子晚上即将要下雪，能否留下与我共饮一杯？注释刘十九：白居易留下的诗作中，提到刘十九的不多，仅两首。但提到刘二十八、二十八使君的，就很多了。刘二十八就是刘禹锡。刘十九乃其堂兄刘禹铜，系洛阳一富商，与白居易常有应酬。绿蚁：指浮在新酿的没有过滤的米酒上的绿色泡沫。醅（pēi）：酿造。,"",创作背景　　《问刘十九》乃白居易晚年隐居洛阳，“天晚欲雪，思念旧人”时所作。刘十九是作者在江州时的朋友，作者另有《刘十九同宿》诗，说他是嵩阳处士。也有人认为此诗作于元和十二年（817年），但诗人时任江州（今江西九江）司马，不可能邀约洛阳故旧对饮。,白居易（772年－846年），字乐天，号香山居士，又号醉吟先生，祖籍太原，到其曾祖父时迁居下邽，生于河南新郑。是唐代伟大的现实主义诗人，唐代三大诗人之一。白居易与元稹共同倡导新乐府运动，世称“元白”，与刘禹锡并称“刘白”。白居易的诗歌题材广泛，形式多样，语言平易通俗，有“诗魔”和“诗王”之称。官至翰林学士、左赞善大夫。公元846年，白居易在洛阳逝世，葬于香山。有《白氏长庆集》传世，代表诗作有《长恨歌》、《卖炭翁》、《琵琶行》等。► 3073篇诗文
9,哥舒歌,西鄙人,"
北斗七星高，哥舒夜带刀。至今窥牧马，不敢过临洮。
",唐代,"","",创作背景　　这首诗大约是在唐玄宗天宝十二载（753年）哥舒翰领兵大破突厥后西北人民为歌颂其战功而作。哥舒翰多次击退吐蕃侵扰，改变了边境的局面，总体上起到了安定边境作用。因而，当时就有民谣说：“北斗七星高，哥舒夜带刀。吐蕃总杀却，更筑两重壕。”,西鄙人，意为西北边境人，相传为唐代五言民歌《哥舒歌》的作者。这首民歌通过对陇右节度使哥舒翰的歌颂，表达了各族人民对和平生活的向往，平朴自然，雄浑粗犷，流传至今。► 1篇诗文
10,静夜思,李白,"
床前明月光，疑是地上霜。举头望明月，低头思故乡。
",唐代,直译明亮的月光洒在床前的窗户纸上，好像地上泛起了一层霜。我禁不住抬起头来，看那天窗外空中的一轮明月，不由得低头沉思，想起远方的家乡。韵译皎洁月光洒满床，恰似朦胧一片霜。仰首只见月一轮，低头教人倍思乡。注释静夜思：静静的夜里，产生的思绪 。床：今传五种说法。一指井台。已经有学者撰文考证过。中国教育家协会理事程实将考证结果写成论文发表在刊物上，还和好友创作了《诗意图》。二指井栏。从考古发现来看，中国最早的水井是木结构水井。古代井栏有数米高，成方框形围住井口，防,"",创作背景　　李白《静夜思》一诗的写作时间是公元726年（唐玄宗开元之治十四年）旧历九月十五日左右。李白时年26岁，写作地点在当时扬州旅舍。其《秋夕旅怀》诗当为《静夜思》的续篇，亦同时同地所作。,李白（701年－762年），字太白，号青莲居士，唐朝浪漫主义诗人，被后人誉为“诗仙”。祖籍陇西成纪(待考)，出生于西域碎叶城，4岁再随父迁至剑南道绵州。李白存世诗文千余篇，有《李太白集》传世。762年病逝，享年61岁。其墓在今安徽当涂，四川江油、湖北安陆有纪念馆。► 1180篇诗文
